,repository_name,language
0,Cardapio,CSS
1,churrasco-jukebox,TypeScript
2,Controle_despesas,CSS
3,cronometro,CSS
4,felipe,HTML
5,Gimedeiros-77,
6,Linguagens-utilizadas,
7,mevaki,JavaScript
8,nlw-connect-react,TypeScript
9,portfolio_alura,HTML
10,Portifolio,HTML
11,todo-list,JavaScript
12,usina,CSS
